care_purpose,morbidity,etiology,major_clinical_category
,F01341,F09,
,F01342,F100,
,F018,F1002,
,F01802,F101,
,F01841,F102,
,F019,F10200,
,F01902,F10202,
,F020,F1021,
,F023,F1022,
,F02302,F10241,
,F02310,F1025,
,F0232,F103,
,F02320,F1031,
,F024,F104,
,F02400,F105,
,F02411,F106,
,F02422,F107,
,F02430,F1071,
,F02442,F1073,
,F028,F1074,
,F02801,F108,
,F0281,F109,
,F02832,F110,
,F03,F111,
,F03+0,F115,
,F03+00,F130,
,F03+01,F132,
,F03+02,F142,
,F03+1,F14200,
,F03+11,F1425,
,F03+12,F153,
,F03+3,F1556,
,F03+31,F172,
,F03+32,F1720,
,F03+4,F1724,
,F03+40,F180,
,F03+41,F192,
,F03+42,F1924,
,F04,F195,
,F050,F1950,
,F051,F1951,
,F058,F1954,
,F059,F200,
,F060,F2008,
,F063,F201,
,F0632,F203,
,F065,F206,
,F067,F2062,
,F0670,F208,
,F0671,F209,
,F068,F21,
,F069,F220,
,F070,F228,
,F072,F229,
,F078,F230,
,F079,F232,
,F09,F250,
,F100,F251,
,F1000,F259,
,F1005,F28,
,F101,F29,
,F102,F309,
,F10201,F310,
,F10202,F311,
,F1021,F312,
,F10240,F313,
,F10241,F3130,
,F1025,F3131,
,F1026,F314,
,F103,F315,
,F1030,F316,
,F1031,F317,
,F104,F318,
,F105,F319,
,F106,F320,
,F107,F3201,
,F1071,F321,
,F1073,F3210,
,F1075,F3211,
,F108,F322,
,F109,F323,
,F110,F328,
,F1103,F329,
,F111,F330,
,F112,F3300,
,F1122,F3301,
,F113,F331,
,F1156,F3310,
,F117,F3311,
,F120,F332,
,F1204,F333,
,F130,F3330,
,F133,F339,
,F14200,F340,
,F1424,F341,
,F14240,F348,
,F143,F388,
,F172,F39,
,F190,F401,
,F1905,F402,
,F192,F408,
,F195,F410,
,F200,F411,
,F201,F412,
,F202,F418,
,F203,F419,
,F204,F420,
,F205,F429,
,F206,F431,
,F208,F432,
,F209,F4320,
,F220,F4322,
,F228,F439,
,F229,F440,
,F230,F444,
,F232,F448,
,F233,F449,
,F238,F450,
,F24,F452,
,F250,F453,
,F251,F454,
,F252,F480,
,F258,F489,
,F28,F500,
,F29,F501,
,F300,F502,
,F302,F503,
,F308,F504,
,F309,F505,
,F310,F508,
,F311,F509,
,F312,F510,
,F313,F512,
,F3130,F522,
,F314,F531,
,F315,F54,
,F316,F59,
,F317,F600,
,F318,F601,
,F319,F602,
,F320,F603,
,F3200,F6030,
,F3201,F6031,
,F321,F604,
,F3210,F605,
,F3211,F606,
,F322,F607,
,F323,F608,
,F3230,F609,
,F3231,F642,
,F328,F648,
,F329,F649,
,F330,F680,
,F3300,F681,
,F3301,F688,
,F331,F69,
,F3310,F700,
,F3311,F701,
,F332,F709,
,F333,F711,
,F3330,F731,
,F3331,F790,
,F338,F798,
,F339,F799,
,F340,F810,
,F341,F812,
,F388,F82,
,F39,F840,
,F401,F842,
,F402,F844,
,F408,F88,
,F410,F89,
,F411,F912,
,F412,F920,
,F413,F928,
,F418,F985,
,F419,F988,
,F420,G001,
,F421,G002,
,F422,G008,
,F428,G009,
,F429,G01,
,F430,G020,
,F431,G021,
,F432,G030,
,F4322,G031,
,F444,G039,
,F445,G040,
,F448,G042,
,F449,G048,
,F450,G049,
,F452,G050,
,F453,G051,
,F454,G052,
,F458,G058,
,F480,G060,
,F488,G061,
,F489,G062,
,F500,G07,
,F501,G08,
,F502,G09,
,F503,G10,
,F504,G111,
,F505,G112,
,F508,G114,
,F509,G118,
,F510,G119,
,F54,G120,
,F59,G121,
,F600,G122,
,F601,G128,
,F602,G130,
,F603,G138,
,F6030,G20,
,F604,G210,
,F606,G211,
,F607,G218,
,F608,G219,
,F609,G22,
,F61,G231,
,F621,G238,
,F628,G239,
,F629,G248,
,F630,G250,
,F638,G253,
,F660,G255,
,F681,G258,
,F688,G259,
,F69,G26,
,F701,G300,
,F710,G301,
,F711,G308,
,F719,G309,
,F720,G310,
,F721,G311,
,F730,G312,
,F731,G318,
,F781,G319,
,F791,G328,
,F801,G35,
,F802,G369,
,F809,G372,
,F810,G373,
,F811,G374,
,F812,G375,
,F813,G378,
,F818,G379,
,F819,G400,
,F82,G401,
,F83,G402,
,F840,G403,
,F841,G404,
,F842,G405,
,F844,G406,
,F845,G408,
,F848,G409,
,F849,G410,
,F88,G419,
,F900,G451,
,F901,G452,
,F909,G458,
,F910,G459,
,F911,G460,
,F912,G462,
,F913,G463,
,F918,G464,
,F919,G467,
,F920,G468,
,F928,G473,
,F930,G474,
,F932,G479,
,F938,G500,
,F939,G509,
,F941,G510,
,F948,G511,
,F952,G518,
,F980,G522,
,F981,G527,
,F988,G530,
